opportunity_id,sales_agent,product,account,stage,created_date,close_date,amount
YFP8IZ98,Rosie Papadopoulos,MG Special,Acme Corporation,Won,3/8/2017,6/22/2017,61
7ASDRLM5,Donn Cantrell,GTX Basic,Acme Corporation,Won,3/29/2017,5/11/2017,549
N4SD17JR,Reed Clapper,GTX Basic,Acme Corporation,Won,11/12/2016,3/1/2017,556
C3KQJVDU,Corliss Cosme,GTX Basic,Acme Corporation,Won,11/10/2017,11/18/2017,577
35GT4NM9,Donn Cantrell,GTX Basic,Acme Corporation,Won,10/25/2017,11/5/2017,586
OJVA8ZEK,Daniell Hammack,GTX Plus Basic,Acme Corporation,Won,3/5/2017,6/8/2017,966
H6CG7TPM,Violet Mclelland,GTX Plus Basic,Acme Corporation,Won,5/10/2017,5/28/2017,1022
W8E2YLNY,Reed Clapper,GTX Plus Basic,Acme Corporation,Won,5/27/2017,9/4/2017,1095
7FVUE0GY,Cassey Cress,GTX Plus Basic,Acme Corporation,Won,10/19/2017,10/21/2017,1096
LW8485Y2,Cassey Cress,GTX Plus Basic,Acme Corporation,Won,4/20/2017,8/10/2017,1161
6RJE18RW,Cassey Cress,GTX Plus Basic,Acme Corporation,Won,3/19/2017,3/24/2017,1161
I6O855AE,Daniell Hammack,GTX Plus Basic,Acme Corporation,Won,4/19/2017,5/22/2017,1282
QK5BW61U,Donn Cantrell,MG Advanced,Acme Corporation,Won,4/16/2017,8/5/2017,3012
M4MOGAS4,Violet Mclelland,MG Advanced,Acme Corporation,Won,8/24/2017,8/25/2017,3146
5NW73ZRY,Boris Faz,MG Advanced,Acme Corporation,Won,5/6/2017,5/22/2017,3370
TBZMXKH4,Wilburn Farren,MG Advanced,Acme Corporation,Won,1/15/2017,3/29/2017,3833
POFA8BWL,Rosie Papadopoulos,MG Advanced,Acme Corporation,Won,4/21/2017,4/23/2017,3850
FIQIRK37,Daniell Hammack,GTXPro,Acme Corporation,Won,7/7/2017,7/8/2017,4089
IJ2CLOLZ,Daniell Hammack,GTXPro,Acme Corporation,Won,11/24/2017,12/9/2017,4445
ETADSAC3,Donn Cantrell,GTXPro,Acme Corporation,Won,4/21/2017,4/27/2017,4605
7OIR36P2,Donn Cantrell,GTXPro,Acme Corporation,Won,11/15/2017,12/27/2017,4980
M1VNX1D7,Cassey Cress,GTXPro,Acme Corporation,Won,7/16/2017,7/28/2017,5318
3JMB4J8E,Garret Kinder,GTX Plus Pro,Acme Corporation,Won,10/5/2017,10/7/2017,5331
88KUDE6J,Donn Cantrell,GTX Plus Pro,Acme Corporation,Won,2/4/2017,5/30/2017,5366
56ZJUSNG,Daniell Hammack,GTXPro,Acme Corporation,Won,5/28/2017,6/7/2017,5378
04LU4OPA,Daniell Hammack,GTX Plus Pro,Acme Corporation,Won,4/10/2017,6/11/2017,5721
XT9YNOV2,Donn Cantrell,GTX Plus Pro,Acme Corporation,Won,2/9/2017,6/11/2017,5724
CZ3XOD03,Boris Faz,GTX Plus Pro,Acme Corporation,Won,1/29/2017,5/11/2017,5772
J3K9EXW0,Reed Clapper,GTX Plus Pro,Acme Corporation,Won,8/29/2017,12/25/2017,5790
10QXTLQX,Daniell Hammack,GTXPro,Acme Corporation,Won,5/15/2017,6/25/2017,5857
LFMMI05H,Cassey Cress,GTX Plus Pro,Acme Corporation,Won,8/14/2017,12/21/2017,5881
S3W6Q07M,Kami Bicknell,GTX Plus Pro,Acme Corporation,Engaging,1/16/2017,6/30/2017,3790
7TI1WTV9,Zane Levy,GTXPro,Acme Corporation,Engaging,3/4/2017,4/26/2017,3424
B3A6VXVQ,Corliss Cosme,GTX Basic,Acme Corporation,Engaging,7/8/2017,9/5/2017,294
SP9W5IND,Boris Faz,MG Special,Acme Corporation,Engaging,7/30/2017,1/20/2018,40
EMH2I8XE,Lajuana Vencill,MG Advanced,Acme Corporation,Engaging,7/31/2017,9/27/2017,2028
LDQITW5C,Lajuana Vencill,MG Advanced,Acme Corporation,Engaging,8/3/2017,11/17/2017,1817
MG1YUTUE,Markita Hansen,MG Special,Acme Corporation,Engaging,10/1/2017,1/24/2018,44
0N11U6L3,Daniell Hammack,GTX Plus Basic,Acme Corporation,Engaging,10/30/2017,1/15/2018,624
23ZL97PN,Donn Cantrell,GTX Plus Basic,Betasoloin,Lost,12/2/2017,12/12/2017,693
F34QYKQJ,Donn Cantrell,GTXPro,Betasoloin,Lost,9/21/2017,11/30/2017,3370
7AH7F190,Reed Clapper,GTX Basic,Betasoloin,Lost,9/17/2017,11/27/2017,364
KODTODAA,Reed Clapper,GTX Plus Pro,Betasoloin,Lost,9/17/2017,11/12/2017,4795
UBU4E17W,Cassey Cress,GTX Basic,Betasoloin,Lost,10/26/2017,11/6/2017,401
76V79SHZ,Violet Mclelland,GTX Plus Basic,Betasoloin,Lost,10/17/2017,10/18/2017,555
A2PIOJWL,Daniell Hammack,GTXPro,Betasoloin,Lost,9/8/2017,9/19/2017,2847
CJZLM3WA,Garret Kinder,MG Special,Betasoloin,Lost,7/1/2017,9/16/2017,40
LMJINVRQ,Daniell Hammack,GTX Plus Basic,Betasoloin,Lost,6/13/2017,9/7/2017,1044
TTVQT1YD,Donn Cantrell,MG Advanced,Betasoloin,Lost,6/16/2017,8/31/2017,2878
DHVOS14H,Corliss Cosme,MG Advanced,Betasoloin,Lost,8/18/2017,8/31/2017,1937
IM5AGXLX,Wilburn Farren,GTX Plus Pro,Betasoloin,Lost,7/1/2017,8/6/2017,2995
VLPSQ076,Wilburn Farren,MG Advanced,Betasoloin,Lost,7/3/2017,7/12/2017,1909
6NZH6X7G,Reed Clapper,GTX Plus Pro,Betasoloin,Lost,6/10/2017,6/21/2017,4560
XUQ7RS1Q,Daniell Hammack,GTXPro,Betasoloin,Lost,4/9/2017,5/30/2017,3655
2L5ZWLI7,Cassey Cress,GTX Plus Basic,Betasoloin,Lost,3/1/2017,5/25/2017,795
0P8NFYML,Cassey Cress,MG Special,Betasoloin,Lost,5/6/2017,5/24/2017,32
UD9V38LV,Donn Cantrell,GTXPro,Betasoloin,Lost,3/23/2017,5/19/2017,3606
GAM8C5ET,Cassey Cress,GTX Plus Pro,Betasoloin,Lost,4/12/2017,4/17/2017,3116
XLKL4EI0,Wilburn Farren,GTX Basic,Betasoloin,Lost,3/29/2017,4/10/2017,532
HRWHRCH8,Violet Mclelland,MG Special,Betasoloin,Won,3/5/2017,3/14/2017,48
K4ETVW4H,Boris Faz,MG Special,Betasoloin,Won,3/16/2017,5/12/2017,53
OV5X3O5I,Cassey Cress,GTX Basic,Betasoloin,Won,2/5/2017,3/27/2017,493
TS2JEK3E,Donn Cantrell,GTX Basic,Betasoloin,Won,7/4/2017,9/23/2017,531
K0IV66AV,Reed Clapper,GTX Basic,Betasoloin,Won,8/26/2017,11/7/2017,539
0ZXS3AIR,Boris Faz,GTX Basic,Betasoloin,Won,9/20/2017,12/26/2017,563
611J0LEK,Boris Faz,GTX Basic,Betasoloin,Won,7/7/2017,7/9/2017,574
TYWS7KJR,Reed Clapper,GTX Basic,Betasoloin,Won,4/9/2017,4/16/2017,575
9GENDMWA,Corliss Cosme,GTX Basic,Betasoloin,Won,2/9/2017,5/25/2017,603
U64RT0UF,Donn Cantrell,GTX Plus Basic,Betasoloin,Won,2/14/2017,5/29/2017,987
N8F2PFQP,Boris Faz,GTX Plus Basic,Betasoloin,Won,3/21/2017,4/3/2017,992
JOLRMB6X,Rosie Papadopoulos,GTX Plus Basic,Betasoloin,Won,4/20/2017,6/24/2017,1036
KDDN1E4O,Cassey Cress,GTX Plus Basic,Betasoloin,Won,7/5/2017,7/14/2017,1109
0XHTFQE8,Cassey Cress,GTX Plus Basic,Betasoloin,Won,5/19/2017,8/19/2017,1131
U1BDEL90,Corliss Cosme,MG Advanced,Betasoloin,Won,4/3/2017,4/10/2017,2794
V4HYSJS2,Reed Clapper,MG Advanced,Betasoloin,Won,4/21/2017,6/4/2017,2887
YCQABCDI,Reed Clapper,MG Advanced,Betasoloin,Won,7/22/2017,11/3/2017,3252
2Y9R7T2W,Cassey Cress,MG Advanced,Betasoloin,Won,6/30/2017,9/26/2017,3280
V7C6RT5S,Cassey Cress,MG Advanced,Betasoloin,Won,10/8/2017,10/17/2017,3472
K4VP5HK4,Donn Cantrell,MG Advanced,Betasoloin,Won,2/18/2017,5/8/2017,3602
MSN4ZNU6,Violet Mclelland,MG Advanced,Betasoloin,Won,12/22/2017,12/28/2017,3673
YMGWLEHY,Garret Kinder,GTXPro,Betasoloin,Won,1/9/2017,3/21/2017,3822
W1J3L0EU,Daniell Hammack,GTXPro,Betasoloin,Won,6/3/2017,6/6/2017,4492
3S31RHE5,Cassey Cress,GTXPro,Betasoloin,Won,3/15/2017,5/18/2017,4497
S5IXY4Z9,Corliss Cosme,GTXPro,Betasoloin,Won,11/25/2016,3/6/2017,4570
HALGOQ5D,Donn Cantrell,GTXPro,Betasoloin,Won,3/14/2017,5/30/2017,4688
AETY0W6G,Reed Clapper,GTXPro,Betasoloin,Won,5/3/2017,5/8/2017,4859
8BQMFR86,Corliss Cosme,GTX Plus Pro,Betasoloin,Won,1/9/2017,3/30/2017,4974
YDBPPU6J,Donn Cantrell,GTXPro,Betasoloin,Won,4/23/2017,6/3/2017,5100
CJOU1RYX,Daniell Hammack,GTX Plus Pro,Betasoloin,Won,3/27/2017,6/9/2017,5182
I9U5PCM3,Reed Clapper,GTXPro,Betasoloin,Won,7/17/2017,11/17/2017,5452
H6NJKV4F,Boris Faz,GTX Plus Pro,Betasoloin,Won,3/25/2017,5/20/2017,5479
X7VUR49L,Donn Cantrell,GTXPro,Betasoloin,Won,9/17/2017,9/26/2017,5763
J7YF6DS7,Corliss Cosme,GTX Plus Pro,Betasoloin,Won,11/25/2016,3/1/2017,5964
AMNKCM1H,Elease Gluck,MG Special,Betasoloin,Engaging,2/17/2017,7/20/2017,48
XOVYPE58,Rosie Papadopoulos,GTXPro,Betasoloin,Engaging,4/19/2017,6/2/2017,3971
R9U1QNHQ,Hayden Neloms,MG Special,Betasoloin,Engaging,4/29/2017,7/14/2017,28
YT34YUZN,Corliss Cosme,GTXPro,Betasoloin,Engaging,6/12/2017,9/3/2017,4277
BJOY31DL,Violet Mclelland,MG Special,Betasoloin,Engaging,6/23/2017,8/18/2017,32
74KGIZW4,Kary Hendrixson,GTXPro,Betasoloin,Engaging,6/24/2017,8/13/2017,3865
HIV4W2E0,Kary Hendrixson,GTX Plus Basic,Betasoloin,Engaging,7/2/2017,9/6/2017,1030
T9QD8U1Y,Darcel Schlecht,MG Special,Betasoloin,Engaging,7/21/2017,10/6/2017,45
49SUORYW,Niesha Huffines,GTX Plus Basic,Betasoloin,Engaging,8/4/2017,12/16/2017,580
NY7Z4I06,Kary Hendrixson,GTX Plus Pro,Betasoloin,Engaging,8/5/2017,11/29/2017,3216
EJVD09HQ,James Ascencio,MG Special,Betasoloin,Engaging,9/25/2017,3/6/2018,40
1LY8CAXD,Rosalina Dieter,GTK 500,Betasoloin,Engaging,9/27/2017,1/8/2018,22573
TXZTEEUJ,Darcel Schlecht,GTXPro,Betatech,Lost,9/2/2017,12/13/2017,4172
073UCD9F,Gladys Colclough,MG Special,Betatech,Lost,9/5/2017,12/10/2017,36
XNOQAL9G,Anna Snelling,MG Special,Betatech,Lost,8/6/2017,11/29/2017,31
8F3RA844,Jonathan Berthelot,GTXPro,Betatech,Lost,9/4/2017,11/19/2017,4795
C8BIQFEN,Darcel Schlecht,GTX Plus Pro,Betatech,Lost,11/11/2017,11/14/2017,3598
T6BHNN1O,Cecily Lampkin,MG Special,Betatech,Lost,9/17/2017,11/13/2017,47
99NDUEKO,Cecily Lampkin,GTX Plus Pro,Betatech,Lost,8/14/2017,11/9/2017,4816
76ZQP7QY,Darcel Schlecht,GTXPro,Betatech,Lost,11/6/2017,11/7/2017,2882
J54XWY0O,Versie Hillebrand,GTX Basic,Betatech,Lost,10/5/2017,10/16/2017,379
E4O6XJ9E,Darcel Schlecht,GTXPro,Betatech,Lost,10/4/2017,10/12/2017,3862
3HTSMIGI,Anna Snelling,GTX Plus Basic,Betatech,Lost,8/15/2017,9/27/2017,650
5LPKNEEI,Darcel Schlecht,GTXPro,Betatech,Lost,9/5/2017,9/13/2017,3864
UZI6MKVR,Anna Snelling,MG Special,Betatech,Lost,5/27/2017,8/24/2017,55
X2ZONP2D,Moses Frase,GTX Plus Pro,Betatech,Lost,6/28/2017,8/24/2017,5193
LZLXBQ0I,Lajuana Vencill,GTX Plus Basic,Betatech,Lost,5/4/2017,8/20/2017,1037
QAJPUEN2,Darcel Schlecht,GTXPro,Betatech,Lost,8/7/2017,8/18/2017,4096
WJ81WITC,Darcel Schlecht,GTX Plus Pro,Betatech,Lost,6/13/2017,8/16/2017,3996
JGG9CO2Y,Marty Freudenburg,GTX Plus Pro,Betatech,Lost,6/25/2017,8/14/2017,3933
F56MSU4B,Lajuana Vencill,MG Advanced,Betatech,Lost,7/26/2017,7/30/2017,2092
S46ZLF3G,Anna Snelling,GTX Basic,Betatech,Lost,7/17/2017,7/26/2017,420
EBVL81O5,Darcel Schlecht,GTXPro,Betatech,Lost,7/19/2017,7/22/2017,3495
3S73ZUQH,Darcel Schlecht,MG Advanced,Betatech,Lost,7/12/2017,7/21/2017,3033
KEF5O2Q6,Moses Frase,GTX Basic,Betatech,Lost,3/8/2017,6/26/2017,398
P05J08B4,Jonathan Berthelot,GTXPro,Betatech,Lost,5/4/2017,5/20/2017,3203
N23C5EKK,Lajuana Vencill,GTX Basic,Betatech,Lost,5/8/2017,5/10/2017,426
OV60VIBB,Niesha Huffines,GTX Basic,Betatech,Lost,2/27/2017,5/8/2017,346
Q22714T0,Anna Snelling,MG Special,Betatech,Lost,4/18/2017,4/24/2017,34
37LTMWB0,Darcel Schlecht,GTX Basic,Betatech,Lost,4/13/2017,4/20/2017,327
XYZ39YT2,Cecily Lampkin,MG Special,Betatech,Lost,4/11/2017,4/19/2017,32
YZ4AIQQR,Gladys Colclough,MG Advanced,Betatech,Lost,4/15/2017,4/16/2017,3313
SKY95DVG,Anna Snelling,MG Special,Betatech,Lost,12/9/2016,3/22/2017,36
8DWOWB6Y,Anna Snelling,GTX Basic,Betatech,Lost,2/26/2017,3/16/2017,419
52CROFH2,Darcel Schlecht,GTX Basic,Betatech,Lost,2/22/2017,3/5/2017,505
WGYE40NI,Versie Hillebrand,MG Special,Betatech,Won,9/4/2017,12/26/2017,41
IZD69C5Q,Marty Freudenburg,MG Special,Betatech,Won,1/21/2017,6/6/2017,41
1ROC43JK,Versie Hillebrand,MG Special,Betatech,Won,12/16/2016,3/8/2017,50
FCGE8U5M,Anna Snelling,MG Special,Betatech,Won,4/18/2017,4/25/2017,51
8JR8LXEU,Gladys Colclough,MG Special,Betatech,Won,11/1/2017,11/5/2017,53
BP45IP77,Anna Snelling,MG Special,Betatech,Won,7/19/2017,7/25/2017,53
MUODVNBC,Versie Hillebrand,MG Special,Betatech,Won,10/17/2017,10/27/2017,54
J03H7OQF,Darcel Schlecht,MG Special,Betatech,Won,7/8/2017,7/16/2017,54
VT5Y73GX,Anna Snelling,MG Special,Betatech,Won,1/9/2017,3/15/2017,56
RP5PS9A5,Lajuana Vencill,MG Special,Betatech,Won,12/25/2016,3/10/2017,56
FB1AO8SL,Anna Snelling,MG Special,Betatech,Won,4/5/2017,4/14/2017,57
RB8GDYFY,Gladys Colclough,MG Special,Betatech,Won,12/27/2017,12/29/2017,67
UOUG01WG,Versie Hillebrand,MG Special,Betatech,Won,5/14/2017,5/16/2017,68
1MZ8GDLF,Marty Freudenburg,MG Special,Betatech,Won,9/12/2017,9/21/2017,72
O0NCMYX9,Cecily Lampkin,GTX Basic,Betatech,Won,5/25/2017,6/5/2017,460
XZUEXEUH,Anna Snelling,GTX Basic,Betatech,Won,11/5/2017,11/9/2017,480
MV7NPCI9,Jonathan Berthelot,GTX Basic,Betatech,Won,10/24/2017,10/29/2017,519
JXS3KFKM,Gladys Colclough,GTX Basic,Betatech,Won,4/3/2017,4/5/2017,532
SCYV3JPO,Lajuana Vencill,GTX Basic,Betatech,Won,10/2/2017,10/12/2017,536
8QOUXQEV,Anna Snelling,GTX Basic,Betatech,Won,6/30/2017,9/27/2017,560
7EBT21IA,Gladys Colclough,GTX Basic,Betatech,Won,4/23/2017,4/24/2017,560
W2QJUK1Y,Moses Frase,GTX Basic,Betatech,Won,10/16/2017,10/28/2017,562
YQK2K6U5,Darcel Schlecht,GTX Basic,Betatech,Won,6/17/2017,8/22/2017,576
9SU2A73Y,Jonathan Berthelot,GTX Basic,Betatech,Won,9/7/2017,9/18/2017,585
SUYF0EN7,Versie Hillebrand,GTX Basic,Betatech,Won,5/4/2017,8/9/2017,590
RSFYKC1F,Moses Frase,GTX Basic,Betatech,Won,3/16/2017,6/25/2017,619
29ZDUK49,Anna Snelling,GTX Plus Basic,Betatech,Won,6/29/2017,7/10/2017,1047
SBLP2LJB,Niesha Huffines,GTX Plus Basic,Betatech,Won,4/4/2017,6/11/2017,1067
AUZM3MLU,Darcel Schlecht,GTX Plus Basic,Betatech,Won,7/16/2017,9/18/2017,1071
EMGB7S71,Cecily Lampkin,GTX Plus Basic,Betatech,Won,8/23/2017,11/13/2017,1074
FN50OJHN,Niesha Huffines,GTX Plus Basic,Betatech,Won,7/7/2017,7/11/2017,1088
TSN98FPQ,Jonathan Berthelot,GTX Plus Basic,Betatech,Won,10/24/2017,10/25/2017,1243
10R46CSK,Lajuana Vencill,MG Advanced,Betatech,Won,2/18/2017,5/7/2017,2904
6KOHYTT4,Versie Hillebrand,MG Advanced,Betatech,Won,7/21/2017,7/30/2017,3167
U2JI00ER,Marty Freudenburg,MG Advanced,Betatech,Won,10/26/2017,10/27/2017,3353
0MNAGD91,Moses Frase,MG Advanced,Betatech,Won,6/24/2017,7/5/2017,3355
8LPO6YCO,Marty Freudenburg,MG Advanced,Betatech,Won,3/18/2017,5/7/2017,3542
93X2W24Q,Anna Snelling,MG Advanced,Betatech,Won,4/9/2017,6/2/2017,3666
L8D22SSW,Darcel Schlecht,MG Advanced,Betatech,Won,2/1/2017,6/17/2017,3822
S2WRH3QA,Versie Hillebrand,MG Advanced,Betatech,Won,8/31/2017,9/30/2017,4011
EJMX0EIJ,Darcel Schlecht,GTX Plus Pro,Betatech,Won,12/13/2016,3/20/2017,4278
QYWZZ16B,Darcel Schlecht,GTXPro,Betatech,Won,6/11/2017,6/24/2017,4410
GS2CLR52,Darcel Schlecht,GTXPro,Betatech,Won,7/16/2017,7/17/2017,4488
56XQOTXV,Versie Hillebrand,GTX Plus Pro,Betatech,Won,2/25/2017,5/17/2017,4494
5PA21ZHE,Darcel Schlecht,GTXPro,Betatech,Won,4/1/2017,4/10/2017,4685
OQQWTFSZ,Darcel Schlecht,GTXPro,Betatech,Won,10/19/2017,10/27/2017,4688
ENGMZL6Y,Darcel Schlecht,GTXPro,Betatech,Won,8/18/2017,9/1/2017,4817
AEZIAPTN,Darcel Schlecht,GTXPro,Betatech,Won,8/23/2017,11/14/2017,4833
HTD2ME9C,Anna Snelling,GTX Plus Pro,Betatech,Won,2/19/2017,6/12/2017,5370
9924I5ZF,Cecily Lampkin,GTX Plus Pro,Betatech,Won,3/2/2017,5/25/2017,5728
HWDRCUYU,Moses Frase,GTX Plus Pro,Betatech,Won,1/30/2017,5/14/2017,5755
66KFPHBT,Niesha Huffines,GTX Plus Pro,Betatech,Won,7/9/2017,9/24/2017,5944
C563WHG1,Lajuana Vencill,GTX Plus Pro,Betatech,Won,9/30/2017,10/11/2017,6156
AF8NG5JC,Cassey Cress,MG Special,Betatech,Engaging,2/8/2017,5/2/2017,46
FVGRGJU8,Rosie Papadopoulos,MG Advanced,Betatech,Engaging,4/21/2017,9/15/2017,2684
OT26ZUZ7,Daniell Hammack,GTXPro,Betatech,Engaging,7/9/2017,11/16/2017,3509
TIPXNDS2,Gladys Colclough,MG Special,Betatech,Engaging,8/3/2017,1/19/2018,46
I6M40320,Niesha Huffines,GTX Plus Basic,Betatech,Engaging,8/7/2017,1/26/2018,911
OHAARANW,Darcel Schlecht,GTXPro,Bioholding,Lost,12/19/2017,12/30/2017,2476
CID4Y877,Marty Freudenburg,GTX Plus Basic,Bioholding,Lost,9/2/2017,12/13/2017,609
6FR9YZH2,Moses Frase,GTX Plus Pro,Bioholding,Lost,11/16/2017,11/17/2017,3482
0F9GSZRO,Moses Frase,GTX Basic,Bioholding,Lost,8/5/2017,11/11/2017,445
OYUUU6B9,Darcel Schlecht,GTX Basic,Bioholding,Lost,7/11/2017,11/9/2017,445
6BUW3ZVC,Jonathan Berthelot,GTX Basic,Bioholding,Lost,9/8/2017,11/4/2017,395
3EZLRW47,Darcel Schlecht,GTXPro,Bioholding,Lost,10/21/2017,10/31/2017,4002
GRO3S3HV,Darcel Schlecht,MG Special,Bioholding,Lost,10/14/2017,10/21/2017,50
7PMUB7T4,Darcel Schlecht,GTXPro,Bioholding,Lost,9/30/2017,10/12/2017,3122
ODINSHYF,Gladys Colclough,MG Special,Bioholding,Lost,9/23/2017,10/1/2017,35
Q5R1PYJS,Darcel Schlecht,GTXPro,Bioholding,Lost,6/20/2017,9/11/2017,2672
L71FBIF7,Marty Freudenburg,MG Special,Bioholding,Lost,5/18/2017,9/10/2017,36
G5GPTVMU,Anna Snelling,GTX Plus Basic,Bioholding,Lost,7/12/2017,8/31/2017,908
IWQP4M72,Jonathan Berthelot,GTX Plus Basic,Bioholding,Lost,5/29/2017,8/29/2017,804
LGK00C12,Lajuana Vencill,GTX Basic,Bioholding,Lost,5/16/2017,8/24/2017,406
GFU8P2SC,Versie Hillebrand,MG Special,Bioholding,Lost,8/11/2017,8/17/2017,34
4Z7B0OQB,Anna Snelling,MG Advanced,Bioholding,Lost,5/5/2017,8/15/2017,2333
O6DSGX6P,Lajuana Vencill,GTX Basic,Bioholding,Lost,6/26/2017,8/10/2017,508
C2RL3DUQ,Moses Frase,MG Advanced,Bioholding,Lost,5/26/2017,8/9/2017,3336
VG17J29L,Versie Hillebrand,MG Special,Bioholding,Lost,7/19/2017,7/29/2017,38
T51ULXCZ,Darcel Schlecht,GTXPro,Bioholding,Lost,7/12/2017,7/23/2017,3912
FCBBJJIJ,Darcel Schlecht,MG Advanced,Bioholding,Lost,7/20/2017,7/23/2017,3280
313EIVW4,Anna Snelling,GTX Plus Basic,Bioholding,Lost,7/2/2017,7/10/2017,1018
FGES2PQ2,Lajuana Vencill,MG Advanced,Bioholding,Lost,6/25/2017,7/4/2017,1750
FZ1TTF0X,Moses Frase,GTX Basic,Bioholding,Lost,4/29/2017,5/31/2017,534
6LI7FXQT,Darcel Schlecht,MG Special,Bioholding,Lost,3/9/2017,5/28/2017,33
KATNS4R4,Lajuana Vencill,GTX Basic,Bioholding,Lost,2/22/2017,5/22/2017,336
5QR02PQI,Marty Freudenburg,GTX Plus Basic,Bioholding,Lost,5/5/2017,5/8/2017,694
AJJ7VJWA,Niesha Huffines,GTXPro,Bioholding,Lost,3/4/2017,5/2/2017,4431
SLN6HHLD,Gladys Colclough,MG Special,Bioholding,Lost,4/6/2017,4/16/2017,28
8OHCCD42,Anna Snelling,GTX Plus Basic,Bioholding,Lost,4/13/2017,4/15/2017,654
70GGNRPB,Cecily Lampkin,GTX Basic,Bioholding,Lost,3/30/2017,4/11/2017,339
A89TBOY5,Moses Frase,MG Advanced,Bioholding,Lost,4/1/2017,4/6/2017,2412
44H0FJMH,Anna Snelling,GTX Plus Pro,Bioholding,Lost,12/22/2016,3/27/2017,4114
DV9ZB9KL,Versie Hillebrand,GTX Basic,Bioholding,Lost,3/22/2017,3/27/2017,503
1RND0S0B,Marty Freudenburg,MG Special,Bioholding,Won,10/18/2017,10/30/2017,43
E4KNZB95,Versie Hillebrand,MG Special,Bioholding,Won,7/28/2017,8/19/2017,53
4DKUZ8JE,Darcel Schlecht,MG Special,Bioholding,Won,7/30/2017,7/31/2017,53
NL3JZH1Z,Anna Snelling,MG Special,Bioholding,Won,11/4/2016,3/10/2017,53
N78A330G,Gladys Colclough,MG Special,Bioholding,Won,9/10/2017,11/8/2017,54
8RZ1A49O,Cecily Lampkin,MG Special,Bioholding,Won,3/24/2017,3/31/2017,54
JQ8V4I1K,Versie Hillebrand,MG Special,Bioholding,Won,4/13/2017,4/22/2017,56
SS9FXCS2,Niesha Huffines,MG Special,Bioholding,Won,5/21/2017,8/1/2017,57
5XADPM6R,Versie Hillebrand,MG Special,Bioholding,Won,12/19/2017,12/28/2017,58
ULES5Z21,Versie Hillebrand,MG Special,Bioholding,Won,6/13/2017,6/15/2017,59
ENOMNCOJ,Cecily Lampkin,MG Special,Bioholding,Won,3/8/2017,6/3/2017,59
JSD4APT2,Versie Hillebrand,MG Special,Bioholding,Won,11/10/2016,3/12/2017,61
MB0XTICR,Versie Hillebrand,MG Special,Bioholding,Won,8/29/2017,12/8/2017,62
